what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1494835688286
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835697826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835747735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1494835747747
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1494835749281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835750912
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835766039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1494835766039
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1494835774591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835776534
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835786113
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1494835790602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835792450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835808914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1494835808929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835820198
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1494835863683
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/BheeThriftSociety",1494835863698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835863761
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1494835863792
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1494835863792
closed,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1494835863839
closed,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1494835864013
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1494835864200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494835870297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494844999669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494845000733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494845002047
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494845003515
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1494845012971
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1494845013306
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1494845013533
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1494845013813
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1494845014341
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1494845424443
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1494845424443
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1494845424443
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1494845424443
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1494845424443
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1494845424443
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1494845424443
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1494845424443
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1494845424443
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1494845424443
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1494845424443
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1494845424490
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1494845424490
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1494845424490
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1494845424490
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1494845424490
started,bundle,org.eclipse.emf.common,2.7.0.v20110605-0747,"org.eclipse.emf.common",1494845424490
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110606-0949,"org.eclipse.emf.common.ui",1494845424490
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1494845424506
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1494845424506
started,bundle,org.eclipse.emf.edit,2.7.0.v20110606-0949,"org.eclipse.emf.edit",1494845424522
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110606-0949,"org.eclipse.emf.edit.ui",1494845424522
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1494845424537
